match_id,map,game_start,agent,kills,deaths,assists,score,shots_total,hs_percent,kd_ratio,total_engagements,win
e5bba8dc-e6ca-4071-b01e-61bb0445b5de,Abyss,2024-12-22T19:13:14.882Z,Chamber,8,13,1,2214,21,19.047619047619047,0.6153846153846154,22,0.0
3a8e8137-8b95-4efe-826a-39459ce77f1d,Haven,2024-12-22T08:22:42.482Z,Chamber,2,13,1,775,13,0.0,0.15384615384615385,16,0.0
42c0f95d-2ec5-4470-9e46-e696b6101ce3,Ascent,2024-12-22T07:00:19.758Z,Reyna,8,18,5,2885,41,17.073170731707318,0.4444444444444444,31,0.0
067ba20a-13f5-47bb-a29e-a6876db2ccf5,Abyss,2024-12-20T22:07:04.269Z,Chamber,18,14,6,5004,49,24.489795918367346,1.2857142857142858,38,1.0
7074fb2d-21f7-44eb-bbe7-ad41a768889e,Haven,2024-12-19T20:36:22.537Z,Chamber,19,16,3,4870,48,14.583333333333334,1.1875,38,1.0
2aa388fa-9db1-437a-bd5a-93177570f12e,Split,2024-12-19T20:05:17.823Z,Reyna,25,10,3,6754,61,32.78688524590164,2.5,38,1.0
0417a64d-d3d0-4c00-b451-126bf4df71bc,Sunset,2024-12-19T01:48:29.38Z,Reyna,19,16,1,5301,66,19.696969696969695,1.1875,36,0.0
38822c7c-588e-4639-9afe-16583f6a3c28,Ascent,2024-12-18T05:10:42.989Z,Reyna,16,17,2,4150,39,41.02564102564102,0.9411764705882353,35,1.0
21a0226d-931a-414f-9169-b2d365c8717e,Ascent,2024-12-18T03:49:57.394Z,Reyna,2,5,1,638,8,12.5,0.4,8,0.0
93d46bf8-fe15-4b4a-ba15-e4d58e2bc35f,Abyss,2024-12-08T23:05:42.693Z,Reyna,17,17,6,4918,56,17.857142857142858,1.0,40,1.0
0613035e-10ce-42ad-80c8-edeff5d4ce83,Split,2024-12-07T07:31:14.773Z,Reyna,18,15,4,5301,45,35.55555555555556,1.2,37,0.0
53b3e5b3-27ca-4cc2-8789-76ed2b33a7c8,Pearl,2024-12-07T06:02:12.244Z,Chamber,14,7,3,3672,24,33.33333333333333,2.0,24,1.0
